iter	MultiClass
0	2.980030954
1	2.666840027
2	2.452622665
3	2.294671571
4	2.16327076
5	2.053148617
6	1.951832181
7	1.866280658
8	1.794288578
9	1.732553779
10	1.681632774
11	1.635686913
12	1.595525368
13	1.55685544
14	1.524376062
15	1.493292355
16	1.467387618
17	1.446489274
18	1.424992494
19	1.403769572
20	1.382957124
21	1.364909011
22	1.35052925
23	1.335694262
24	1.324742755
25	1.309988245
26	1.296451022
27	1.283457433
28	1.273464195
29	1.262233412
30	1.250585875
31	1.24168438
32	1.234997619
33	1.226536276
34	1.219078661
35	1.209037765
36	1.204405806
37	1.196030986
38	1.186464002
39	1.180807587
40	1.175445758
41	1.169541551
42	1.162279908
43	1.152620592
44	1.146082303
45	1.140728168
46	1.134047689
47	1.126653121
48	1.119715037
49	1.115538383
50	1.110756383
51	1.10565899
52	1.101548053
53	1.097905298
54	1.091851678
55	1.088006277
56	1.082647431
57	1.078295219
58	1.074496141
59	1.068060549
60	1.06364741
61	1.057155837
62	1.052643691
63	1.050266274
64	1.04641255
65	1.041106702
66	1.03803875
67	1.033295851
68	1.028219893
69	1.02588613
70	1.020658796
71	1.018056592
72	1.014284602
73	1.011570044
74	1.009215003
75	1.006048438
76	1.002240488
77	0.9995931382
78	0.9961144778
79	0.9933692992
80	0.989921809
81	0.9859398711
82	0.983545495
83	0.9806879623
84	0.9794053505
85	0.9778565749
86	0.9729761178
87	0.9700688069
88	0.9661464614
89	0.9635903456
90	0.9593507233
91	0.9567555073
92	0.953364626
93	0.9487106046
94	0.9443419046
95	0.9400940383
96	0.9369063524
97	0.9327820678
98	0.9305076618
99	0.9283178943
100	0.9247918111
101	0.9235589775
102	0.9211545516
103	0.917680602
104	0.9137719181
105	0.9121445495
106	0.9083578769
107	0.9054601448
108	0.901685328
109	0.8995872653
110	0.8969995867
111	0.8945293657
112	0.8928039325
113	0.8901715006
114	0.8881152862
115	0.8854247537
116	0.8831579635
117	0.8806725107
118	0.8782205835
119	0.8770424744
120	0.8753297606
121	0.8731561671
122	0.8714424326
123	0.8696936021
124	0.8670091937
125	0.8653817466
126	0.8618986109
127	0.8602011288
128	0.8581530799
129	0.855651139
130	0.8536872575
131	0.8512614757
132	0.8476223318
133	0.8464844221
134	0.8449120921
