iter	Passed	Remaining
0	57	57516
1	117	58646
2	180	59897
3	240	59915
4	302	60175
5	362	60052
6	416	59057
7	468	58115
8	515	56782
9	576	57045
10	632	56851
11	691	56944
12	746	56664
13	819	57729
14	886	58241
15	964	59333
16	1042	60296
17	1130	61654
18	1199	61951
19	1260	61788
20	1318	61483
21	1382	61453
22	1454	61793
23	1533	62378
24	1598	62359
25	1662	62262
26	1735	62544
27	1800	62518
28	1872	62696
29	1944	62868
30	2006	62708
31	2075	62781
32	2128	62361
33	2199	62488
34	2284	62987
35	2344	62788
36	2398	62418
37	2466	62451
38	2549	62814
39	2604	62497
40	2663	62311
41	2736	62424
42	2803	62397
43	2879	62568
44	2934	62283
45	3014	62513
46	3079	62435
47	3165	62792
48	3233	62761
49	3291	62534
50	3352	62385
51	3436	62657
52	3505	62639
53	3569	62532
54	3647	62673
55	3717	62659
56	3782	62570
57	3842	62401
58	3902	62247
59	3994	62587
60	4063	62555
61	4128	62459
62	4206	62564
63	4254	62221
64	4318	62124
65	4383	62028
66	4447	61928
67	4514	61879
68	4574	61726
69	4635	61589
70	4699	61491
71	4754	61281
72	4812	61111
73	4868	60926
74	4920	60690
75	4983	60589
76	5066	60734
77	5140	60757
78	5208	60723
79	5263	60530
80	5332	60503
81	5400	60460
82	5467	60402
83	5521	60212
84	5576	60026
85	5631	59849
86	5704	59868
87	5753	59624
88	5829	59667
89	5902	59684
90	5960	59538
91	6035	59569
92	6095	59445
93	6164	59418
94	6230	59356
95	6306	59382
96	6376	59357
97	6444	59317
98	6503	59191
99	6567	59104
100	6636	59070
101	6688	58884
102	6747	58758
103	6822	58779
104	6895	58772
105	6950	58618
106	7008	58492
107	7079	58470
108	7148	58432
109	7221	58428
110	7286	58354
111	7346	58247
112	7397	58065
113	7465	58022
114	7523	57897
115	7585	57809
116	7660	57817
117	7721	57715
118	7784	57631
119	7840	57495
120	7893	57341
121	7940	57142
122	7993	56995
123	8045	56838
124	8120	56842
125	8175	56710
126	8241	56649
127	8295	56514
128	8353	56399
129	8430	56422
130	8498	56374
131	8555	56261
132	8620	56195
133	8680	56102
134	8734	55962
135	8792	55857
136	8871	55883
137	8919	55712
138	8975	55596
139	9031	55477
140	9093	55397
141	9160	55349
142	9233	55334
143	9292	55240
144	9363	55214
145	9434	55182
146	9498	55117
147	9560	55037
148	9614	54914
149	9672	54811
150	9729	54706
151	9795	54650
152	9853	54548
153	9909	54440
154	9963	54319
155	10032	54279
156	10079	54122
157	10131	53989
158	10225	54086
159	10298	54064
160	10360	53991
161	10405	53823
162	10475	53790
163	10556	53812
164	10623	53760
165	10697	53744
166	10764	53692
167	10819	53581
168	10889	53545
169	10946	53443
170	11007	53362
171	11082	53349
172	11141	53261
173	11195	53144
174	11268	53121
175	11339	53089
176	11410	53055
177	11497	53093
178	11555	52999
179	11635	53004
180	11691	52902
181	11746	52793
182	11822	52781
183	11887	52719
184	11964	52707
185	12015	52586
186	12065	52457
187	12124	52369
188	12178	52256
189	12255	52247
190	12323	52197
191	12405	52206
192	12462	52111
193	12517	52004
194	12566	51876
195	12633	51821
196	12676	51672
197	12744	51623
198	12806	51547
199	12886	51547
200	12954	51496
201	13030	51477
202	13095	51413
203	13150	51312
204	13212	51237
205	13262	51120
206	13343	51116
207	13410	51064
208	13469	50976
209	13538	50932
210	13579	50780
211	13654	50752
212	13722	50701
213	13770	50577
214	13831	50499
215	13888	50410
216	13938	50295
217	13999	50219
218	14056	50126
219	14103	50004
220	14177	49975
